# Local additions to the vendored word list, in the same TSV format:
#   <british><TAB><american>
# Lines starting with '#' and blank lines are ignored.
# Entries here override words.tsv when keys collide.
#
# Keep to spellings that are unambiguously wrong in American technical prose.
# Do not add register/dialect swaps that change meaning or tone.
#
# ---------------------------------------------------------------------------
# DO NOT EXTEND THIS LIST BY SUFFIX RULE. Add words one at a time, by hand.
#
# It is tempting to generate entries with a rule like -ise -> -ize or
# -lled -> -led. Both have almost no signal. Measured over one real 330-file
# technical corpus:
#
#   -ise/-ised/-ises/-ising   37 distinct words, 324 occurrences, ALL correct
#                             English, ZERO British verb forms. advertise,
#                             compromise, exercise, franchise, precise,
#                             promise, surprise, otherwise, expertise...
#
#   -lled/-lling/-ller        42 distinct words, 577 occurrences, ALL correct
#                             American. billed, called, controlled, drilling,
#                             dwelling, falling, installed, smaller, telling...
#
# A naive -ise pass over that corpus would corrupt 324 correct words to fix 0.
# A naive double-l pass, 577 to fix 0.
#
# The discriminator is etymological and prosodic, not orthographic. -ise is a
# British verb ending but also the ordinary ending of French-derived nouns.
# Double-l before a suffix is correct American when the stress falls on the
# final syllable (control -> controlled) and British only when it does not
# (label -> labelled). No suffix rule can see stress or etymology.
#
# The one rule that is safe is the prefix resolution in the script, and only
# because it composes a KNOWN-good pair with a prefix: the etymology question
# is already settled by a human having put the stem on the list.
#
# SCOPE OF THOSE NUMBERS: one author, one technical domain, and the -ise
# population there is dominated by real-estate and GIS vocabulary. The shape of
# the result should generalize -- these suffixes carry little signal anywhere --
# but the counts should not be inherited. Anyone working a medical, legal or
# literary corpus should re-measure rather than quote these figures.
# ---------------------------------------------------------------------------

# -ise/-isation gaps in the upstream list
parameterise	parameterize
parameterised	parameterized
parameterises	parameterizes
parameterising	parameterizing
parameterisation	parameterization
parametrise	parametrize
parametrised	parametrized
parametrisation	parametrization
serialisable	serializable
deserialise	deserialize
deserialised	deserialized
deserialises	deserializes
deserialising	deserializing
deserialisation	deserialization
initialisers	initializers
serialiser	serializer
serialisers	serializers
normaliser	normalizer
tokenise	tokenize
tokenised	tokenized
tokenises	tokenizes
tokenising	tokenizing
tokeniser	tokenizer
tokenisers	tokenizers
sanitiser	sanitizer
sanitisation	sanitization
containerise	containerize
containerised	containerized
containerisation	containerization
memoise	memoize
memoised	memoized
memoisation	memoization
